Raw Value,Normalized Value,Record Count,Category,Changed,Sample Toys
"olaf mold lt-rt","Olaf Mold LT RT",4,"olaf",YES,"JJP88"
"Earring-lt","Earring LT",4,"accessory",YES,"JJN71"
"Tiered Plants","Tiered Plants",4,"tiered",NO,"JLT63"
"Standard-Arm Upper-Lt","Standard Arm Upper LT",4,"arm",YES,"JHL50"
"Star Backpack-back","Star Backpack Back",4,"star",YES,"JPL16"
"Star bag-ft","Star Bag FT",4,"star",YES,"JGG36"
"Door, Box cover, back hook","Door, Box Cover, Back Hook",4,"cover",YES,"JLH83"
"STRAPPY HEELS-R","Strappy Heels R",4,"strappy",YES,"JJX38"
"workbench top","Workbench Top",4,"workbench",YES,"JKB66"
"BELT#2","Belt#2",4,"belt#2",YES,"JMP45"
"Airpods-lt","Airpods LT",4,"airpods",YES,"JKP51"
"Hat-with-strap","Hat With Strap",4,"hat",YES,"JLW52"
"Upper-Leg-Rt-Ft","Upper Leg RT FT",4,"leg",YES,"JLP17"
"nail station","Nail Station",4,"nail",YES,"JHK46"
"charm","Charm",4,"charm",YES,"JLT60, JNC38"
"Ear","Ear",4,"ear",NO,"JMV26"
"Belle plate","Belle Plate",4,"belle",YES,"JTP41"
"Bag-back","Bag Back",4,"bag",YES,"JPL14"
"HOOK","Hook",4,"hook",YES,"JMP48"
"Belle kraton","Belle Kraton",4,"belle",YES,"JPL72"
"Bag car","Bag Car",4,"bag",YES,"JPL13"
"Mirror-frame","Mirror Frame",4,"frame",YES,"JHL60"
"arm connector","Arm Connector",4,"arm",YES,"JLT59"
"Hip-ball-Rt","Hip Ball RT",4,"hip",YES,"JGP21"
"Mice","Mice",4,"mice",NO,"JLK35"
"Floral","Floral",4,"floral",NO,"JBJ05"
"Mic","Mic",4,"mic",NO,"JKP51"
"Table-top","Table Top",4,"table",YES,"JHL47"
"water bottle cap","Water Bottle Cap",4,"cover",YES,"JMB81"
"first floor wall","First Floor Wall",4,"first",YES,"JNK62"
"FLYNN RIDER HAIR","Flynn Rider Hair",4,"hair",YES,"JHH02"
"Cinderella-Bodice-Ft/Rr","Cinderella Bodice Ft/rr",4,"cinderella",YES,"JHL53"
"FLYNN RIDER HEAD with neck","Flynn Rider Head With Neck",4,"head",YES,"JHH02"
"Cinderella-Torso-Ft/Rr","Cinderella Torso Ft/rr",4,"body",YES,"JHL53"
"duck","Duck",4,"duck",YES,"JNW73, JRD75"
"DRINK LID","Drink Lid",4,"cover",YES,"JHK34"
"Maleficent Torso Lower base","Maleficent Torso Lower Base",4,"body",YES,"JJV55"
"FLYNN RIDER LOWER TORSO FT","Flynn Rider Lower Torso FT",4,"body",YES,"JHH02"
"Maleficent Torso FT","Maleficent Torso FT",4,"body",NO,"JJV55"
"Fin","Fin",4,"fin",NO,"JKH55, JKH56, JLW56"
"makeup palette","Makeup Palette",4,"makeup",YES,"JMG74"
"MAKEUP BRUSH #1","Makeup Brush #1",4,"makeup",YES,"JPD90"
"Luaggage cover","Luaggage Cover",4,"cover",YES,"JMV16, JMV17, JMV18"
"LT-Leg-Front","LT Leg Front",4,"leg",YES,"JNJ61"
"Foot-Lt-half","Foot LT Half",4,"foot",YES,"JLW51"
"lower-arm-Rt-front","Lower Arm RT Front",4,"arm",YES,"JGP25"
"Tail Front","Tail Front",4,"tail",NO,"JRY61, JRY62, JRY64"
"drink cover","Drink Cover",4,"cover",YES,"JDR48"
"drink bottom","Drink Bottom",4,"drink",YES,"JDR48"
"Bag-Front","Bag Front",4,"bag",YES,"JBJ16"
"Waist pane FT","Waist Pane FT",4,"waist",YES,"JRY61, JRY62, JRY64"
"Fence for tomatoes","Fence For Tomatoes",4,"fence",YES,"JFG30"
"lock","Lock",4,"lock",YES,"JHH07, JHH08"
"Loafer","Loafer",4,"loafer",NO,"JJN56"
"compass - ruler -  screwdriver","Compass Ruler Screwdriver",4,"compass",YES,"JKB66"
"dog sunglasses","Dog Sunglasses",4,"dog",YES,"JFP36, JFP37"
"Bag-Ft.","Bag FT",4,"bag",YES,"JBH93"
"Foot-Rt","Foot RT",4,"foot",YES,"JGP21, JJY03"
"container  circle","Container Circle",4,"packaging",YES,"JPJ76"
